SNR42;163;0,003691123
SNR42;171;0,003872283
SNR42;174;0,003940217
SNR42;166;0,003759058
SNR42;156;0,003532609
SNR42;155;0,003509964
SNR42;166;0,003759058
SNR42;159;0,003600543
SNR42;161;0,003645833
SNR42;158;0,003577899
SNR42;153;0,003464674
SNR42;175;0,003962862
SNR42;154;0,003487319
SNR42;162;0,003668478
SNR42;149;0,003374094
SNR42;161;0,003645833
SNR42;163;0,003691123
SNR42;153;0,003464674
SNR42;155;0,003509964
SNR42;164;0,003713768
SNR42;162;0,003668478
SNR42;166;0,003759058
SNR42;157;0,003555254
SNR42;165;0,003736413
SNR42;156;0,003532609
SNR42;153;0,003464674
SNR42;154;0,003487319
SNR42;177;0,004008152
SNR42;143;0,003238225
SNR42;162;0,003668478
SNR37;173;0,003917572
SNR37;173;0,003917572
SNR37;189;0,004279891
SNR37;167;0,003781703
SNR37;172;0,003894928
SNR37;183;0,004144022
SNR37;175;0,003962862
SNR37;191;0,004325181
SNR37;177;0,004008152
SNR37;169;0,003826993
SNR37;181;0,004098732
SNR37;170;0,003849638
SNR37;167;0,003781703
SNR37;171;0,003872283
SNR37;189;0,004279891
SNR37;194;0,004393116
SNR37;170;0,003849638
SNR37;180;0,004076087
SNR37;202;0,004574275
SNR37;173;0,003917572
SNR37;177;0,004008152
SNR37;183;0,004144022
SNR37;187;0,004234601
SNR37;185;0,004189312
SNR37;182;0,004121377
SNR37;190;0,004302536
SNR37;184;0,004166667
SNR37;186;0,004211957
SNR37;177;0,004008152
SNR37;180;0,004076087
SNR33;218;0,004936594
SNR33;217;0,004913949
SNR33;236;0,005344203
SNR33;213;0,00482337
SNR33;217;0,004913949
SNR33;225;0,005095109
SNR33;235;0,005321558
SNR33;229;0,005185688
SNR33;226;0,005117754
SNR33;223;0,005049819
SNR33;221;0,005004529
SNR33;221;0,005004529
SNR33;209;0,00473279
SNR33;233;0,005276268
SNR33;218;0,004936594
SNR33;237;0,005366848
SNR33;219;0,004959239
SNR33;228;0,005163043
SNR33;215;0,004868659
SNR33;225;0,005095109
SNR33;219;0,004959239
SNR33;229;0,005185688
SNR33;209;0,00473279
SNR33;226;0,005117754
SNR33;228;0,005163043
SNR33;223;0,005049819
SNR33;238;0,005389493
SNR33;217;0,004913949
SNR33;227;0,005140399
SNR33;220;0,004981884
